Frodo: 1171
Gandalf: 921
Sam: 732
Bilbo: 624
Aragorn: 542
Pippin: 468
Merry: 355
Gollum: 285
Gimli: 277
Ring: 269
Shire: 268
Legolas: 238
Men: 233
Orcs: 221
Faramir: 215
Gondor: 209
Elves: 207
Thorin: 189
Boromir: 180
Mordor: 172
Saruman: 169
Rohan: 167
Jomer: 161
Strider: 157
Thjoden: 148
Elrond: 142
City: 134
Lord: 134
Mountain: 130
West: 128
Company: 122
Riders: 120
North: 120
Enemy: 115
Sauron: 114
Bree: 109
Isengard: 107
Ents: 102
River: 100
King: 98
Denethor: 96
Treebeard: 94
Minas Tirith: 92
Road: 91
Sun: 89
East: 89
Gate: 84
South: 79
Rivendell: 78
Bag End: 73
Elf: 72
Tom: 72
Moria: 71
Mark: 66
Lady: 66
Smaug: 65
Balin: 64
Smjagol: 60
Sea: 60
Lurien: 59
Orthanc: 58
Beregond: 57
Master: 57
Anduin: 55
Baggins: 55
Hobbits: 54
Tower: 53
Shadow: 53
Forest: 52
Jowyn: 52
Moon: 52
Isildur: 52
Mr. Baggins: 51
Beorn: 50
Dwarf: 49
Middle: 48
Mirkwood: 47
Galadriel: 46
Great River: 45
Bard: 45
Dark Lord: 44
Ugl: 43
Mountains: 43
Dead: 42
Dale: 41
Fangorn: 41
House: 40
Wormtongue: 40
Bombur: 39
Hobbiton: 38
Shadowfax: 38
Rohirrim: 37
Elendil: 37
Lake: 37
Nazgyl: 36
Helm: 35
Stone: 35
Dwarves: 35
Deep: 35
Misty Mountains: 34
Hill: 34
Gluin: 33
Mr. Frodo: 33
Celeborn: 32
Took: 32
Eye: 32
Shagrat: 32
Fili: 31
Council: 31
Edoras: 31
Elvish: 30
Elven: 30
Haldir: 29
Gaffer: 28
Morgul: 27
Butterbur: 27
Wood: 27
Shelob: 27
Ithilien: 27
Emyn Muil: 26
Captains: 26
Durin: 26
Lothlurien: 26
Precious: 26
Dark Tower: 25
Ford: 25
Orc: 25
Grishnbkh: 25
Glorfindel: 25
Bywater: 25
Black Gate: 25
Osgiliath: 25
Buckland: 24
Black Riders: 24
Mr. Bilbo: 24
Peregrin: 24
Sting: 24
Rider: 24
Kili: 24
Nine: 24
Eorl: 23
Barad: 23
Eagles: 23
Citadel: 23
Dori: 22
Ephel: 22
Weathertop: 22
Ent: 22
Paths: 21
Gildor: 21
Kings: 21
Dain: 20
Great: 20
William: 20
Land: 20
Mr. Butterbur: 20
Grey: 20
Elvenking: 20
Goldberry: 20
Dike: 20
Spring: 20
Wargs: 20
Bridge: 20
Bert: 20
Pelennor: 20
Entwash: 19
Wise: 19
Steward: 19
Gorbag: 19
Power: 19
Cotton: 19
Rauros: 19
Chief: 19
Dol Amroth: 19
Houses: 19
Isen: 19
Wild: 19
Nimrodel: 19
Bill: 18
Guard: 18
Sackville: 18
One: 18
Barrow: 18
Hornburg: 18
Him: 18
Lady Jowyn: 18
Lugb: 18
Warden: 18
Old Forest: 18
Arkenstone: 18
Lady Galadriel: 17
Mirror: 17
Captain: 17
Dunharrow: 17
Three: 17
Ranger: 17
Mr: 17
Gamgee: 17
Sam Gamgee: 16
White: 16
Doom: 16
Samwise: 16
Silverlode: 16
Rings: 16
Meriadoc: 16
Tom Bombadil: 16
Imrahil: 16
Westernesse: 16
Gloin: 16
Old: 15
He: 15
Man: 15
Lonely Mountain: 15
Maggot: 15
Healing: 15
Thror: 15
Hbma: 15
Cirith Ungol: 15
Entwives: 15
Fire: 15
Sword: 15
Minas Morgul: 15
Nob: 15
Bombadil: 15
Ferny: 15
Elder Days: 15
Mithrandir: 14
Black: 14
Tooks: 14
Sharkey: 14
Lord Denethor: 14
Rangers: 14
Gates: 14
Arathorn: 14
Battle: 14
Cross: 14
Westfold: 14
Black Rider: 14
Darkness: 13
Red Book: 13
Dragon: 13
Quest: 13
June: 13
Bofur: 13
Brandybuck: 13
May: 13
Caradhras: 13
Fords: 13
Vale: 13
Southfarthing: 13
Old Took: 13
Balrog: 13
White Tower: 13
Gil: 13
Shirriffs: 13
Greenway: 13
Hall: 13
Esgaroth: 12
Bolger: 12
Wilderland: 12
Horse: 12
Prince: 12
Gap: 12
Water: 12
Amon Hen: 12
Bane: 12
Brandywine: 12
Tol Brandir: 12
Halflings: 12
Southrons: 12
Prince Imrahil: 12
Great Goblin: 12
Ringwraiths: 12
Dernhelm: 12
Downs: 11
Carrock: 11
Tirith: 11
Third Age: 11
Dwalin: 11
Dbin: 11
Meduseld: 11
Halfling: 11
Brandy Hall: 11
Hobbit: 11
White Mountains: 11
End: 11
Beren: 11
Dark: 11
Crickhollow: 11
Tree: 11
Mindolluin: 11
Ioreth: 11
Black Land: 11
Lords: 10
Lotho: 10
Ferry: 10
Lebennin: 10
Mount Doom: 10
Forest River: 10
Brandybucks: 10
Door: 10
Oin: 10
Day: 10
Wizard: 10
Rosie: 10
Thain: 10
Bilbo Baggins: 10
Golden Wood: 10
And: 10
Mines: 10
Hedge: 10
Cair Andros: 10
White Rider: 10
Thrain: 10
East Road: 10
Burg: 10
Marish: 10
Gorgoroth: 10
Ghvn: 9
Isengarders: 9
Galadhrim: 9
It: 9
Bagshot Row: 9
Radagast: 9
Khazad: 9
Hold: 9
One Ring: 9
Minas: 9
Bill Ferny: 9
Big People: 9
Bergil: 9
The Hill: 9
Michel Delving: 9
Elfhelm: 9
Young: 9
Great Sea: 9
Messenger: 9
Snowmane: 9
Deeping: 9
Parth Galen: 9
Morannon: 9
Great Ring: 9
Damrod: 9
War: 9
Sam. He: 9
Harad: 9
Elladan: 9
Eorlingas: 9
Misty: 9
October: 9
Gondolin: 8
King Thjoden: 8
Minas Ithil: 8
Stewards: 8
Shirriff: 8
Ted: 8
Elrohir: 8
Lobelia: 8
Thengel: 8
Arwen: 8
Lossarnach: 8
Common Speech: 8
Bag: 8
Deal: 8
Long Lake: 8
Farmer Cotton: 8
Huorns: 8
Bucklebury: 8
Dunland: 8
Withywindle: 8
Jomund: 8
Bifur: 8
Uruk: 8
Mayor: 8
Great Gate: 8
Pelargir: 8
Bagginses: 8
Bruinen: 8
March: 8
Orodruin: 8
Running River: 8
Morgai: 8
Erech: 8
Bob: 7
White Tree: 7
Lord Faramir: 7
Goblin: 7
Halbarad: 7
Harrowdale: 7
The Water: 7
Mablung: 7
Autumn: 7
Grnma: 7
Anurien: 7
His: 7
Stock: 7
Gamling: 7
Eastfarthing: 7
Coomb: 7
Goblins: 7
Grey Company: 7
Field: 7
Amroth: 7
Sarn Gebir: 7
Fredegar: 7
Arnor: 7
Wizards: 7
Gwaihir: 7
Rock: 7
Argonath: 7
Lamedon: 7
White Hand: 7
Gandalf. He: 7
Dimrill Dale: 7
Arod: 7
